@relation R_data_frame

@attribute feat1 numeric
@attribute feat2 numeric
@attribute class numeric

@data
5.128644,5.656468,-1
3.832181,4.539395,-1
4.73756,3.786848,-1
3.680563,5.931218,-1
5.011245,4.354854,-1
5.805729,5.231626,-1
4.01024,6.339586,-1
5.289502,6.478917,-1
6.138028,4.315861,-1
3.708064,4.927074,-1
4.669401,4.156372,-1
5.49777,6.48849,-1
4.453524,4.153242,-1
4.753663,5.663024,-1
4.145803,3.798685,-1
4.880131,4.934706,-1
5.485296,4.404509,-1
4.850332,4.565248,-1
4.92067,6.535152,-1
4.393517,3.652637,-1
5.469383,4.096433,-1
5.03588,4.372469,-1
5.535398,5.552884,-1
4.79631,2.945675,-1
5.132561,6.592941,-1
6.018412,3.419598,-1
4.921338,4.318343,-1
3.975447,3.765647,-1
5.288807,4.570697,-1
5.055801,4.632126,-1
4.535027,5.370961,-1
5.728283,7.11216,-1
3.642702,3.97739,-1
6.037834,4.6102,-1
3.618734,5.315543,-1
6.553243,5.707894,-1
6.957385,5.504542,-1
6.864529,4.660188,-1
3.860221,4.788877,-1
6.190245,3.883791,-1
5.635274,4.398588,-1
5.551185,3.90016,-1
5.085991,2.995437,-1
4.506912,5.462048,-1
4.678995,6.236556,-1
4.36872,2.674789,-1
3.768363,6.055648,-1
4.886776,5.379224,-1
5.9442,2.879573,-1
4.355321,4.295698,-1
3.981863,4.817918,-1
6.521013,4.961561,-1
6.227448,4.303795,-1
5.007524,4.217107,-1
5.586939,4.748793,-1
5.480136,5.668155,-1
4.921679,5.889173,-1
7.309287,5.524639,-1
4.988213,5.913141,-1
5.055941,3.89293,-1
1.567435,0.334416,1
2.125332,2.287676,1
0.853529,3.190915,1
3.189164,1.962367,1
2.327292,2.174639,1
1.813291,2.725791,1
1.411683,4.183186,1
1.863604,2.113931,1
3.066768,2.059281,1
1.904352,1.167651,1
2.294411,0.663818,1
2.714325,3.623562,1
1.308224,2.857997,1
3.254001,0.40627,1
0.559036,2.571148,1
1.600114,2.689997,1
2.815622,2.711908,1
3.29025,2.668601,1
3.190838,0.797543,1
1.98021,1.843283,1
0.395914,2.257304,1
0.943527,3.415141,1
1.19491,2.528743,1
2.219321,1.078098,1
-0.170674,1.940812,1
0.989366,2.614463,1
2.507741,3.69243,1
2.591283,1.356405,1
2.380337,0.990884,1
1.980489,1.951779,1
2.000043,1.682141,1
3.095004,0.12601,1
2.428183,2.895638,1
2.730957,2.577857,1
2.040314,2.677089,1
2.5689,1.744355,1
1.622531,1.704113,1
0.524865,1.765996,1
2.118445,2.314809,1
3.443508,1.649025,1
2.623234,2.799049,1
2.94089,1.007908,1
2.212035,2.237882,1
0.992237,1.257955,1
3.082295,1.8685,1
2.38988,2.087987,1
1.364535,1.440427,1
2.443653,1.050096,1
2.781182,2.568961,1
1.178286,1.734393,1
0.812223,-0.202321,1
2.986337,1.481365,1
2.327368,2.234057,1
2.021466,0.996056,1
1.052854,1.625571,1
0.814114,0.944097,1
3.47248,2.055744,1
0.782683,1.958773,1
0.871656,0.650722,1
1.738898,2.953465,1
